Source,Date,Mean
GISTEMP,06-01-1927,0.0712
GCAG,06-02-1927,-0.1637
GISTEMP,06-02-1927,0.0763
GCAG,06-03-1927,-0.5502
GISTEMP,06-03-1927,-0.0339
GCAG,06-04-1927,-0.143
GISTEMP,06-04-1927,-0.2009
GCAG,06-05-1927,-0.1411
GISTEMP,06-05-1927,-0.453
GCAG,06-06-1927,-0.1867
GISTEMP,06-06-1927,-0.1002
GCAG,06-07-1927,0.0691
GISTEMP,06-07-1927,-0.2303
GCAG,06-08-1927,-0.2727
GISTEMP,06-08-1927,-0.2267
GCAG,06-09-1927,-0.0129
GISTEMP,06-09-1927,-0.1009
GCAG,06-10-1927,-0.2286
GISTEMP,06-10-1927,-0.0721
GCAG,06-11-1927,-0.1334
GISTEMP,06-11-1927,-0.0026
GCAG,06-12-1927,-0.2521
GISTEMP,06-12-1927,-0.1959
GCAG,06-01-1928,-0.2044
GISTEMP,06-01-1928,-0.3651
GCAG,06-02-1928,-0.1
GISTEMP,06-02-1928,-0.1053
GCAG,06-03-1928,-0.1425
GISTEMP,06-03-1928,-0.1785
GCAG,06-04-1928,-0.3545
GISTEMP,06-04-1928,-0.2052
GCAG,06-05-1928,-0.1924
GISTEMP,06-05-1928,-0.2613
GCAG,06-06-1928,-0.164
GISTEMP,06-06-1928,-0.0792
GCAG,06-07-1928,0.1443
GISTEMP,06-07-1928,-0.1125
GCAG,06-08-1928,-0.0989
GISTEMP,06-08-1928,-0.1487
GCAG,06-09-1928,-0.4242
GISTEMP,06-09-1928,-0.1403
GCAG,06-10-1928,-0.1262
GISTEMP,06-10-1928,0.2343
GCAG,06-11-1928,-0.1629
GISTEMP,06-11-1928,-0.0888
GCAG,06-12-1928,-0.1381
GISTEMP,06-12-1928,-0.3082
GCAG,06-01-1929,0.0397
GISTEMP,06-01-1929,-0.0189
GCAG,06-02-1929,-0.0119
GISTEMP,06-02-1929,-0.267
GCAG,06-03-1929,0.081
GISTEMP,06-03-1929,-0.3397
GCAG,06-04-1929,-0.0402
GISTEMP,06-04-1929,0.2003
GCAG,06-05-1929,-0.2757
GISTEMP,06-05-1929,-0.2121
GCAG,06-06-1929,-0.111
GISTEMP,06-06-1929,-0.2015
GCAG,06-07-1929,-0.3574
GISTEMP,06-07-1929,-0.1145
GCAG,06-08-1929,-0.283
GISTEMP,06-08-1929,-0.0526
GCAG,06-09-1929,-0.2604
GISTEMP,06-09-1929,0.11
GCAG,06-10-1929,-0.2388
GISTEMP,06-10-1929,-0.1696
GCAG,06-11-1929,0.0019
GISTEMP,06-11-1929,-0.3048
GCAG,06-12-1929,-0.0849
GISTEMP,06-12-1929,0.0771
GCAG,06-01-1930,-0.359
GISTEMP,06-01-1930,-0.0902
GCAG,06-02-1930,-0.0777
GISTEMP,06-02-1930,0.0006
GCAG,06-03-1930,-0.3011
GISTEMP,06-03-1930,-0.3136
GCAG,06-04-1930,-0.0361
GISTEMP,06-04-1930,-0.0698
GCAG,06-05-1930,-0.0756
GISTEMP,06-05-1930,-0.0613
GCAG,06-06-1930,-0.2141
GISTEMP,06-06-1930,-0.0772
GCAG,06-07-1930,-0.0669
GISTEMP,06-07-1930,-0.2181
GCAG,06-08-1930,0.1701
GISTEMP,06-08-1930,-0.0387
GCAG,06-09-1930,-0.2873
GISTEMP,06-09-1930,-0.0101
GCAG,06-10-1930,-0.2536
GISTEMP,06-10-1930,0.0106
GCAG,06-11-1930,0.0675
GISTEMP,06-11-1930,-0.2294
GCAG,06-12-1930,0.0394
GISTEMP,06-12-1930,-0.0432
GCAG,06-01-1931,0.0193
GISTEMP,06-01-1931,0.1806
GCAG,06-02-1931,-0.1396
GISTEMP,06-02-1931,-0.2159
GCAG,06-03-1931,-0.2351
GISTEMP,06-03-1931,-0.224
GCAG,06-04-1931,-0.1121
GISTEMP,06-04-1931,-0.0493
GCAG,06-05-1931,-0.0578
GISTEMP,06-05-1931,0.0247
GCAG,06-06-1931,-0.0962
GISTEMP,06-06-1931,0.1198
GCAG,06-07-1931,-0.1367
GISTEMP,06-07-1931,0.311
GCAG,06-08-1931,-0.002
GISTEMP,06-08-1931,-0.2244
GCAG,06-09-1931,-0.2553
GISTEMP,06-09-1931,-0.0223
GCAG,06-10-1931,-0.1271
GISTEMP,06-10-1931,0.0135
GCAG,06-11-1931,-0.0214
GISTEMP,06-11-1931,-0.1033
GCAG,06-12-1931,-0.2183
GISTEMP,06-12-1931,-0.3185
GCAG,06-01-1932,-0.1571
GISTEMP,06-01-1932,0.0384
GCAG,06-02-1932,-0.0568
GISTEMP,06-02-1932,-0.2758
GCAG,06-03-1932,-0.0618
GISTEMP,06-03-1932,-0.03
GCAG,06-04-1932,-0.2192
GISTEMP,06-04-1932,-0.0636
GCAG,06-05-1932,-0.0767
GISTEMP,06-05-1932,-0.2569
GCAG,06-06-1932,-0.0306
GISTEMP,06-06-1932,-0.0002
GCAG,06-07-1932,0.0793
GISTEMP,06-07-1932,0.0749
GCAG,06-08-1932,-0.2886
GISTEMP,06-08-1932,-0.2227
GCAG,06-09-1932,-0.0036
GISTEMP,06-09-1932,-0.0038
GCAG,06-10-1932,-0.0024
GISTEMP,06-10-1932,0.4982
GCAG,06-11-1932,0.0071
GISTEMP,06-11-1932,0.0918
GCAG,06-12-1932,0.0657
GISTEMP,06-12-1932,0.0204
GCAG,06-01-1933,-0.1235
GISTEMP,06-01-1933,0.0376
GCAG,06-02-1933,-0.191
GISTEMP,06-02-1933,-0.1106
GCAG,06-03-1933,-0.1467
GISTEMP,06-03-1933,-0.0616
GCAG,06-04-1933,0.2745
GISTEMP,06-04-1933,-0.3528
GCAG,06-05-1933,0.0314
GISTEMP,06-05-1933,-0.3135
GCAG,06-06-1933,-0.1412
GISTEMP,06-06-1933,0.0929
GCAG,06-07-1933,-0.0596
GISTEMP,06-07-1933,-0.2309
GCAG,06-08-1933,-0.1754
GISTEMP,06-08-1933,0.0338
GCAG,06-09-1933,-0.1765
GISTEMP,06-09-1933,-0.0345
GCAG,06-10-1933,-0.0589
GISTEMP,06-10-1933,-0.1635
GCAG,06-11-1933,0.257
GISTEMP,06-11-1933,0.0305
GCAG,06-12-1933,-0.3672
GISTEMP,06-12-1933,-0.0355
GCAG,06-01-1934,-0.1616
GISTEMP,06-01-1934,0.0656
GCAG,06-02-1934,-0.18
GISTEMP,06-02-1934,-0.0784
GCAG,06-03-1934,0.0157
GISTEMP,06-03-1934,0.0699
GCAG,06-04-1934,-0.2389
GISTEMP,06-04-1934,-0.109
GCAG,06-05-1934,-0.1289
GISTEMP,06-05-1934,-0.1557
GCAG,06-06-1934,0.2083
GISTEMP,06-06-1934,0.0042
GCAG,06-07-1934,-0.2445
GISTEMP,06-07-1934,0.0823
GCAG,06-08-1934,0.2641
GISTEMP,06-08-1934,0.1007
GCAG,06-09-1934,-0.281
GISTEMP,06-09-1934,-0.1257
GCAG,06-10-1934,0.1381
GISTEMP,06-10-1934,-0.1581
GCAG,06-11-1934,0.0158
GISTEMP,06-11-1934,0.0655
GCAG,06-12-1934,-0.1886
GISTEMP,06-12-1934,-0.0585
GCAG,06-01-1935,-0.5346
GISTEMP,06-01-1935,-0.2021
GCAG,06-02-1935,-0.0852
GISTEMP,06-02-1935,-0.2344
GCAG,06-03-1935,0.1987
GISTEMP,06-03-1935,-0.2606
GCAG,06-04-1935,-0.111
GISTEMP,06-04-1935,-0.0253
GCAG,06-05-1935,0.1724
GISTEMP,06-05-1935,-0.2592
GCAG,06-06-1935,0.1318
GISTEMP,06-06-1935,-0.0411
GCAG,06-07-1935,-0.1887
GISTEMP,06-07-1935,0.0278
GCAG,06-08-1935,-0.0105
GISTEMP,06-08-1935,-0.1304
GCAG,06-09-1935,-0.0287
GISTEMP,06-09-1935,-0.097
GCAG,06-10-1935,-0.021
GISTEMP,06-10-1935,0.0613
GCAG,06-11-1935,0.201
GISTEMP,06-11-1935,-0.2225
GCAG,06-12-1935,0.2843
GISTEMP,06-12-1935,-0.3285
GCAG,06-01-1936,-0.0573
GISTEMP,06-01-1936,0.0537
GCAG,06-02-1936,0.0088
GISTEMP,06-02-1936,-0.1268
GCAG,06-03-1936,-0.0634
GISTEMP,06-03-1936,-0.1062
GCAG,06-04-1936,-0.1195
GISTEMP,06-04-1936,0.0964
GCAG,06-05-1936,0.0236
GISTEMP,06-05-1936,-0.1339
GCAG,06-06-1936,0.1062
GISTEMP,06-06-1936,0.0173
GCAG,06-07-1936,0.0943
GISTEMP,06-07-1936,0.0668
GCAG,06-08-1936,-0.1508
GISTEMP,06-08-1936,-0.1105
GCAG,06-09-1936,0.0868
GISTEMP,06-09-1936,0.0663
GCAG,06-10-1936,-0.0273
GISTEMP,06-10-1936,-0.0065
GCAG,06-11-1936,0.1687
GISTEMP,06-11-1936,-0.1117
GCAG,06-12-1936,0.0602
GISTEMP,06-12-1936,-0.0521
GCAG,06-01-1937,-0.0533
GISTEMP,06-01-1937,0.1442
GCAG,06-02-1937,0.1043
GISTEMP,06-02-1937,0.1025
GCAG,06-03-1937,0.1775
GISTEMP,06-03-1937,-0.0152
GCAG,06-04-1937,0.0851
GISTEMP,06-04-1937,-0.0637
GCAG,06-05-1937,0.0326
GISTEMP,06-05-1937,-0.0356
GCAG,06-06-1937,-0.0003
GISTEMP,06-06-1937,0.0744
GCAG,06-07-1937,-0.1365
GISTEMP,06-07-1937,0.3001
GCAG,06-08-1937,-0.1635
GISTEMP,06-08-1937,-0.1947
GCAG,06-09-1937,0.1623
GISTEMP,06-09-1937,0.1073
GCAG,06-10-1937,0.0834
GISTEMP,06-10-1937,0.084
GCAG,06-11-1937,-0.0109
GISTEMP,06-11-1937,-0.1437
GCAG,06-12-1937,0.0034
GISTEMP,06-12-1937,-0.1095
GCAG,06-01-1938,0.1395
GISTEMP,06-01-1938,-0.0288
GCAG,06-02-1938,-0.1294
GISTEMP,06-02-1938,-0.0538
GCAG,06-03-1938,0.0575
GISTEMP,06-03-1938,-0.089
GCAG,06-04-1938,-0.1266
GISTEMP,06-04-1938,0.0332
GCAG,06-05-1938,0.0346
GISTEMP,06-05-1938,-0.0782
GCAG,06-06-1938,-0.0716
GISTEMP,06-06-1938,0.0338
GCAG,06-07-1938,-0.217
GISTEMP,06-07-1938,-0.211
GCAG,06-08-1938,-0.1064
GISTEMP,06-08-1938,-0.0307
GCAG,06-09-1938,0.0491
GISTEMP,06-09-1938,0.2238
GCAG,06-10-1938,0.1323
GISTEMP,06-10-1938,-0.0204
GCAG,06-11-1938,0.0019
GISTEMP,06-11-1938,-0.1456
GCAG,06-12-1938,0.0032
GISTEMP,06-12-1938,-0.0373
GCAG,06-01-1939,0.0555
GISTEMP,06-01-1939,-0.117
GCAG,06-02-1939,0.0862
GISTEMP,06-02-1939,0.2382
GCAG,06-03-1939,-0.0069
GISTEMP,06-03-1939,0.0697
GCAG,06-04-1939,0.1141
GISTEMP,06-04-1939,-0.0496
GCAG,06-05-1939,0.0453
GISTEMP,06-05-1939,0.0136
GCAG,06-06-1939,0.0275
GISTEMP,06-06-1939,-0.1031
GCAG,06-07-1939,0.0177
GISTEMP,06-07-1939,0.0887
GCAG,06-08-1939,0.2329
GISTEMP,06-08-1939,0.1591
GCAG,06-09-1939,0.3393
GISTEMP,06-09-1939,-0.0987
GCAG,06-10-1939,0.1484
GISTEMP,06-10-1939,0.045
GCAG,06-11-1939,0.3471
GISTEMP,06-11-1939,-0.1026
GCAG,06-12-1939,-0.1061
GISTEMP,06-12-1939,-0.0701
GCAG,06-01-1940,-0.2976
GISTEMP,06-01-1940,-0.0579
GCAG,06-02-1940,-0.0917
GISTEMP,06-02-1940,0.0447
GCAG,06-03-1940,0.0746
GISTEMP,06-03-1940,0.3047
GCAG,06-04-1940,0.167
GISTEMP,06-04-1940,-0.0621
GCAG,06-05-1940,-0.1091
GISTEMP,06-05-1940,0.0994
GCAG,06-06-1940,-0.1713
GISTEMP,06-06-1940,0.3015
GCAG,06-07-1940,0.2048
GISTEMP,06-07-1940,-0.0424
GCAG,06-08-1940,-0.2279
GISTEMP,06-08-1940,0.2322
GCAG,06-09-1940,0.0131
GISTEMP,06-09-1940,0.2159
GCAG,06-10-1940,-0.2078
GISTEMP,06-10-1940,-0.0585
GCAG,06-11-1940,0.0333
GISTEMP,06-11-1940,0.0396
GCAG,06-12-1940,-0.0338
GISTEMP,06-12-1940,0.1271
GCAG,06-01-1941,-0.1253
GISTEMP,06-01-1941,0.0135
GCAG,06-02-1941,0.0541
GISTEMP,06-02-1941,0.1132
GCAG,06-03-1941,0.1439
GISTEMP,06-03-1941,-0.1315
GCAG,06-04-1941,-0.1918
GISTEMP,06-04-1941,0.23
GCAG,06-05-1941,0.0894
GISTEMP,06-05-1941,-0.0728
GCAG,06-06-1941,0.2733
GISTEMP,06-06-1941,0.058
GCAG,06-07-1941,0.2187
GISTEMP,06-07-1941,0.0519
GCAG,06-08-1941,0.3521
GISTEMP,06-08-1941,0.3063
GCAG,06-09-1941,0.0068
GISTEMP,06-09-1941,0.1899
GCAG,06-10-1941,0.1421
GISTEMP,06-10-1941,0.2506
GCAG,06-11-1941,-0.0983
GISTEMP,06-11-1941,0.1494
GCAG,06-12-1941,0.2064
GISTEMP,06-12-1941,-0.2162
GCAG,06-01-1942,-0.1287
GISTEMP,06-01-1942,-0.2571
GCAG,06-02-1942,0.0095
GISTEMP,06-02-1942,0.1575
GCAG,06-03-1942,0.2764
GISTEMP,06-03-1942,0.0622
GCAG,06-04-1942,0.2965
GISTEMP,06-04-1942,-0.1548
GCAG,06-05-1942,-0.2021
GISTEMP,06-05-1942,0.0451
GCAG,06-06-1942,0.1122
GISTEMP,06-06-1942,0.0496
GCAG,06-07-1942,-0.2544
GISTEMP,06-07-1942,0.0423
GCAG,06-08-1942,-0.1388
GISTEMP,06-08-1942,0.1573
GCAG,06-09-1942,0.113
GISTEMP,06-09-1942,-0.083
GCAG,06-10-1942,-0.0179
GISTEMP,06-10-1942,-0.0997
GCAG,06-11-1942,0.0509
GISTEMP,06-11-1942,0.2036
GCAG,06-12-1942,-0.0864
GISTEMP,06-12-1942,0.1371
GCAG,06-01-1943,-0.0169
GISTEMP,06-01-1943,-0.0563
GCAG,06-02-1943,0.0477
GISTEMP,06-02-1943,-0.0915
GCAG,06-03-1943,-0.0181
GISTEMP,06-03-1943,-0.1147
GCAG,06-04-1943,0.3608
GISTEMP,06-04-1943,0.0714
GCAG,06-05-1943,-0.0377
GISTEMP,06-05-1943,0.0994
GCAG,06-06-1943,0.0516
GISTEMP,06-06-1943,0.0353
GCAG,06-07-1943,0.1617
GISTEMP,06-07-1943,0.1832
GCAG,06-08-1943,-0.0088
GISTEMP,06-08-1943,-0.0156
GCAG,06-09-1943,0.0306
GISTEMP,06-09-1943,-0.2734
GCAG,06-10-1943,-0.1542
GISTEMP,06-10-1943,0.2781
GCAG,06-11-1943,0.321
GISTEMP,06-11-1943,0.0369
GCAG,06-12-1943,0.1619
GISTEMP,06-12-1943,0.1221
GCAG,06-01-1944,0.5384
GISTEMP,06-01-1944,0.2445
GCAG,06-02-1944,0.0585
GISTEMP,06-02-1944,-0.0656
GCAG,06-03-1944,-0.1621
GISTEMP,06-03-1944,0.1094
GCAG,06-04-1944,-0.0335
GISTEMP,06-04-1944,-0.1333
GCAG,06-05-1944,-0.0158
GISTEMP,06-05-1944,-0.0811
GCAG,06-06-1944,0.3354
GISTEMP,06-06-1944,0.2146
GCAG,06-07-1944,0.0823
GISTEMP,06-07-1944,0.3055
GCAG,06-08-1944,0.0962
GISTEMP,06-08-1944,-0.0446
GCAG,06-09-1944,0.3143
GISTEMP,06-09-1944,0.1666
GCAG,06-10-1944,-0.0686
GISTEMP,06-10-1944,0.0584
GCAG,06-11-1944,-0.0432
GISTEMP,06-11-1944,-0.1193
GCAG,06-12-1944,0.2282
GISTEMP,06-12-1944,0.3757
GCAG,06-01-1945,-0.1194
GISTEMP,06-01-1945,0.1749
GCAG,06-02-1945,-0.006
GISTEMP,06-02-1945,0.0185
GCAG,06-03-1945,0.0039
GISTEMP,06-03-1945,-0.0369
GCAG,06-04-1945,0.1012
GISTEMP,06-04-1945,-0.0308
GCAG,06-05-1945,0.1356
GISTEMP,06-05-1945,0.0875
GCAG,06-06-1945,0.0604
GISTEMP,06-06-1945,-0.0399
GCAG,06-07-1945,0.0108
GISTEMP,06-07-1945,0.2107
GCAG,06-08-1945,0.1736
GISTEMP,06-08-1945,-0.0481
GCAG,06-09-1945,0.1146
GISTEMP,06-09-1945,0.2124
GCAG,06-10-1945,-0.1496
GISTEMP,06-10-1945,0.1823
GCAG,06-11-1945,0.0026
GISTEMP,06-11-1945,0.1876
GCAG,06-12-1945,-0.0113
GISTEMP,06-12-1945,-0.1676
GCAG,06-01-1946,-0.1398
GISTEMP,06-01-1946,0.1115
GCAG,06-02-1946,0.1444
GISTEMP,06-02-1946,-0.0302
GCAG,06-03-1946,0.2024
GISTEMP,06-03-1946,-0.1426
GCAG,06-04-1946,0.0979
GISTEMP,06-04-1946,-0.0739
GCAG,06-05-1946,0.0112
GISTEMP,06-05-1946,0.116
GCAG,06-06-1946,-0.019
GISTEMP,06-06-1946,0.0524
GCAG,06-07-1946,0.2622
GISTEMP,06-07-1946,0.0247
GCAG,06-08-1946,0.2378
GISTEMP,06-08-1946,-0.0571
GCAG,06-09-1946,0.193
GISTEMP,06-09-1946,0.3298
GCAG,06-10-1946,-0.256
GISTEMP,06-10-1946,-0.0048
GCAG,06-11-1946,0.2024
GISTEMP,06-11-1946,0.0854
GCAG,06-12-1946,0.1727
GISTEMP,06-12-1946,0.0264
GCAG,06-01-1947,0.1312
GISTEMP,06-01-1947,0.0948
GCAG,06-02-1947,0.2945
GISTEMP,06-02-1947,0.1575
GCAG,06-03-1947,0.1711
GISTEMP,06-03-1947,0.0587
GCAG,06-04-1947,0.0485
GISTEMP,06-04-1947,0.0568
GCAG,06-05-1947,0.182
GISTEMP,06-05-1947,0.0597
GCAG,06-06-1947,0.1674
GISTEMP,06-06-1947,0.4353
GCAG,06-07-1947,0.2558
GISTEMP,06-07-1947,0.0762
GCAG,06-08-1947,0.3065
GISTEMP,06-08-1947,0.0651
GCAG,06-09-1947,-0.1783
GISTEMP,06-09-1947,-0.0238
GCAG,06-10-1947,-0.152
GISTEMP,06-10-1947,0.0759
GCAG,06-11-1947,0.1325
GISTEMP,06-11-1947,0.3812
GCAG,06-12-1947,0.1799
GISTEMP,06-12-1947,0.098
GCAG,06-01-1948,0.2565
GISTEMP,06-01-1948,-0.1996
GCAG,06-02-1948,0.1686
GISTEMP,06-02-1948,0.2489
GCAG,06-03-1948,-0.0874
GISTEMP,06-03-1948,0.3059
GCAG,06-04-1948,0.1863
GISTEMP,06-04-1948,0.0732
GCAG,06-05-1948,0.2316
GISTEMP,06-05-1948,0.4773
GCAG,06-06-1948,0.1651
GISTEMP,06-06-1948,0.1751
GCAG,06-07-1948,0.0701
GISTEMP,06-07-1948,0.0115
GCAG,06-08-1948,0.2647
GISTEMP,06-08-1948,0.0118
GCAG,06-09-1948,0.1521
GISTEMP,06-09-1948,0.0697
GCAG,06-10-1948,0.2143
GISTEMP,06-10-1948,0.1925
GCAG,06-11-1948,0.2993
GISTEMP,06-11-1948,0.0671
GCAG,06-12-1948,0.1043
GISTEMP,06-12-1948,-0.002
GCAG,06-01-1949,0.0793
GISTEMP,06-01-1949,0.2025
GCAG,06-02-1949,0.2607
GISTEMP,06-02-1949,0.0088
GCAG,06-03-1949,0.2787
GISTEMP,06-03-1949,0.3516
GCAG,06-04-1949,0.2114
GISTEMP,06-04-1949,0.4309
GCAG,06-05-1949,0.0345
GISTEMP,06-05-1949,-0.0361
GCAG,06-06-1949,-0.1151
GISTEMP,06-06-1949,0.3761
GCAG,06-07-1949,0.251
GISTEMP,06-07-1949,0.1446
GCAG,06-08-1949,0.196
GISTEMP,06-08-1949,-0.0148
GCAG,06-09-1949,0.5221
GISTEMP,06-09-1949,0.1746
GCAG,06-10-1949,0.1728
GISTEMP,06-10-1949,0.2652
GCAG,06-11-1949,0.2297
GISTEMP,06-11-1949,0.1911
GCAG,06-12-1949,0.0401
GISTEMP,06-12-1949,0.2294
GCAG,06-01-1950,0.4421
GISTEMP,06-01-1950,0.3616
GCAG,06-02-1950,0.4
GISTEMP,06-02-1950,0.0843
GCAG,06-03-1950,0.0137
GISTEMP,06-03-1950,0.1433
GCAG,06-04-1950,0.1717
GISTEMP,06-04-1950,0.3274
GCAG,06-05-1950,-0.0894
GISTEMP,06-05-1950,0.3939
GCAG,06-06-1950,0.1419
GISTEMP,06-06-1950,0.1016
GCAG,06-07-1950,0.015
GISTEMP,06-07-1950,-0.0815
GCAG,06-08-1950,0.2914
GISTEMP,06-08-1950,0.1789
GCAG,06-09-1950,-0.0244
GISTEMP,06-09-1950,-0.0252
GCAG,06-10-1950,0.1199
GISTEMP,06-10-1950,0.4206
GCAG,06-11-1950,0.1325
GISTEMP,06-11-1950,-0.0541
GCAG,06-12-1950,0.1357
GISTEMP,06-12-1950,0.1317
GCAG,06-01-1951,-0.2308
GISTEMP,06-01-1951,0.1656
GCAG,06-02-1951,0.1402
GISTEMP,06-02-1951,0.2793
GCAG,06-03-1951,0.4534
GISTEMP,06-03-1951,0.345
GCAG,06-04-1951,0.1369
GISTEMP,06-04-1951,0.0112
GCAG,06-05-1951,0.5644
GISTEMP,06-05-1951,0.1872
GCAG,06-06-1951,0.1816
GISTEMP,06-06-1951,0.1759
GCAG,06-07-1951,0.2104
GISTEMP,06-07-1951,0.159
GCAG,06-08-1951,0.0958
GISTEMP,06-08-1951,0.0998
GCAG,06-09-1951,0.1781
GISTEMP,06-09-1951,0.1015
GCAG,06-10-1951,0.0772
GISTEMP,06-10-1951,0.2001
GCAG,06-11-1951,0.147
GISTEMP,06-11-1951,0.4109
GCAG,06-12-1951,-0.2112
GISTEMP,06-12-1951,0.3502
GCAG,06-01-1952,0.3745
GISTEMP,06-01-1952,-0.1234
GCAG,06-02-1952,0.1374
GISTEMP,06-02-1952,0.133
GCAG,06-03-1952,-0.0212
GISTEMP,06-03-1952,0.0732
GCAG,06-04-1952,0.0245
GISTEMP,06-04-1952,0.4539
GCAG,06-05-1952,0.3326
GISTEMP,06-05-1952,0.383
GCAG,06-06-1952,0.3016
GISTEMP,06-06-1952,0.024
GCAG,06-07-1952,0.1159
GISTEMP,06-07-1952,0.268
GCAG,06-08-1952,0.0124
GISTEMP,06-08-1952,0.3027
GCAG,06-09-1952,0.1608
GISTEMP,06-09-1952,0.1406
GCAG,06-10-1952,0.3047
GISTEMP,06-10-1952,0.2647
GCAG,06-11-1952,0.145
GISTEMP,06-11-1952,0.3731
GCAG,06-12-1952,0.0382
GISTEMP,06-12-1952,0.2927
GCAG,06-01-1953,0.2905
GISTEMP,06-01-1953,0.1551
GCAG,06-02-1953,0.2516
GISTEMP,06-02-1953,0.015
GCAG,06-03-1953,0.3424
GISTEMP,06-03-1953,0.1761
GCAG,06-04-1953,0.1266
GISTEMP,06-04-1953,0.3623
GCAG,06-05-1953,0.1005
GISTEMP,06-05-1953,-0.0052
GCAG,06-06-1953,-0.0262
GISTEMP,06-06-1953,0.2982
GCAG,06-07-1953,0.0164
GISTEMP,06-07-1953,0.4716
GCAG,06-08-1953,-0.1027
GISTEMP,06-08-1953,0.4641
GCAG,06-09-1953,0.2424
GISTEMP,06-09-1953,0.1962
GCAG,06-10-1953,0.1302
GISTEMP,06-10-1953,0.2718
GCAG,06-11-1953,0.2074
GISTEMP,06-11-1953,0.3786
GCAG,06-12-1953,0.2313
GISTEMP,06-12-1953,0.2368
GCAG,06-01-1954,0.1608
GISTEMP,06-01-1954,0.2068
GCAG,06-02-1954,0.2627
GISTEMP,06-02-1954,-0.04
GCAG,06-03-1954,0.0155
GISTEMP,06-03-1954,0.3292
GCAG,06-04-1954,0.2445
GISTEMP,06-04-1954,0.1912
GCAG,06-05-1954,0.2228
GISTEMP,06-05-1954,0.2721
GCAG,06-06-1954,0.1402
GISTEMP,06-06-1954,0.1044
GCAG,06-07-1954,0.2517
GISTEMP,06-07-1954,0.0756
GCAG,06-08-1954,0.2847
GISTEMP,06-08-1954,-0.0319
GCAG,06-09-1954,0.379
GISTEMP,06-09-1954,0.2955
GCAG,06-10-1954,0.2642
GISTEMP,06-10-1954,0.3732
GCAG,06-11-1954,0.4768
GISTEMP,06-11-1954,0.3791
GCAG,06-12-1954,-0.048
GISTEMP,06-12-1954,0.0362
GCAG,06-01-1955,0.1355
GISTEMP,06-01-1955,0.2332
GCAG,06-02-1955,0.3081
GISTEMP,06-02-1955,0.1216
GCAG,06-03-1955,0.2596
GISTEMP,06-03-1955,0.1183
GCAG,06-04-1955,0.141
GISTEMP,06-04-1955,0.0217
GCAG,06-05-1955,0.0954
GISTEMP,06-05-1955,0.0311
GCAG,06-06-1955,0.0887
GISTEMP,06-06-1955,0.3931
GCAG,06-07-1955,0.0938
GISTEMP,06-07-1955,0.6311
GCAG,06-08-1955,0.3114
GISTEMP,06-08-1955,0.2651
